Wall time,Step,Value
1556168197.3401916,221200,1.143431177297316e-06
1556168261.7537172,222700,1.027992766466923e-06
1556168287.3164592,223300,9.772708153832355e-07
1556168300.1426442,223600,9.867638937066658e-07
1556168380.262162,225400,1.4002770285514998e-06
1556168418.9431062,226300,1.0853930234588915e-06
1556168445.758141,226900,1.0575577107374556e-06
1556168472.3989491,227500,1.0657367965904996e-06
1556168498.386756,228100,9.250495622836752e-07
1556168524.5223606,228700,1.0418139027024154e-06
1556168590.3662312,230200,9.469202950640465e-07
1556168603.270025,230500,8.982171948446194e-07
1556168629.2185209,231100,8.226702448155265e-07
1556168654.8919728,231700,1.0083145980388508e-06
1556168720.1245472,233200,7.730893116786319e-07
1556168875.7566779,236800,8.063138920988422e-07
1556168889.0782077,237100,6.895930937389494e-07
1556168928.3656895,238000,8.473527941532666e-07
1556168992.0483837,239500,7.506841370741313e-07
1556169004.9767575,239800,9.185191629512701e-07
1556169134.807155,242800,1.0550797924224753e-06
1556169199.789649,244300,8.189455797946721e-07
1556169212.5002162,244600,9.725799827720039e-07
1556169270.87072,245800,8.529669912604732e-07
1556169293.2461774,246400,8.666624466968642e-07
1556169358.048132,247900,8.66713151026488e-07
1556169371.3855839,248200,1.324698587268358e-06
1556169384.3160758,248500,5.7520755945006385e-06
1556169397.6383908,248800,1.1060055840061978e-06
1556169423.7208693,249400,7.787147069393541e-07
1556169448.9994912,250000,8.428179967268079e-07
1556169488.0504596,250900,1.0668301229088684e-06
1556169553.1670926,252400,6.452511343013612e-07
1556169617.6145475,253900,6.159182248666184e-07
1556169656.8704407,254800,8.530598734068917e-07
1556169669.689286,255100,4.84745044104784e-07
1556169734.9922185,256600,8.575979677516443e-07
1556169799.73569,258100,5.660983788402518e-07
1556169864.441748,259600,9.091160677598964e-07
1556169877.3453474,259900,7.000488722042064e-07
1556169890.5172172,260200,8.865051199791196e-07
1556169916.1992126,260800,7.873758249843377e-07
1556169942.2899108,261400,9.177048241326702e-07
1556169968.3917356,262000,8.77336788107641e-07
1556170007.4942505,262900,1.026009272209194e-06
1556170020.3047466,263200,9.82060100795934e-07
1556170097.790874,265000,8.091973313639755e-07
1556170110.6683376,265300,8.058009370870423e-07
1556170136.5717304,265900,5.896948778172373e-07
1556170161.986817,266500,8.585522550674796e-07
